subject	chain	generation	age	sex	group	pre	post	totalGameTime	finalScore	il	agreeIG	agreeOG	agreeTotal	agreeBias	agreeMaxIG	agreeMaxOG	obsIG	obsOG	obsTotal	obsBias	hammingIG	hammingOG	hammingDelta	IP_Hub_Country_Code	IP_Hub_ISP	IP_Hub_nonUSIP	IP_Hub_VPS	IP_Hub_recommend_block
126	2	4	54	Female	0	equal	equal	189	45	13	16	23	39	OG	18	28	27	33	60	OG	32	19	13	US	TEL-STAR	0	0	0
127	2	4	27	Female	0	equal	more	106	55	10	25	22	47	IG	28	23	34	26	60	IG	24	19	5	US	DQECOM	0	0	0
128	2	4	29	Male	0	equal	less	219	38	8	20	26	46	OG	24	27	30	30	60	Unbiased	25	20	5	US	ATT-INTERNET4	0	0	0
129	2	4	63	Male	1	more	more	366	58	9	24	16	40	IG	26	23	30	30	60	Unbiased	18	29	-11	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
130	2	4	30	Male	1	equal	equal	128	29	10	21	16	37	IG	32	18	35	25	60	IG	27	26	1	US	COLUMBIA-GW	0	0	0
131	2	4	33	Female	1	equal	idk	158	60	12	39	8	47	IG	39	8	48	12	60	IG	16	29	-13	US	COMCAST-7922	0	0	0
132	2	5	26	Female	0	equal	idk	143	49	9	26	10	36	IG	36	13	44	16	60	IG	27	26	1	US	CELLCO	0	0	0
133	2	5	68	Female	0	equal	equal	222	60	12	32	0	32	IG	49	0	60	0	60	IG	28	33	-5	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
134	2	5	38	Female	0	equal	equal	135	49	12	39	3	42	IG	44	5	54	6	60	IG	17	22	-5	US	HFHS-ASN	0	0	0
135	2	5	29	Female	1	equal	equal	135	53	12	42	0	42	IG	47	0	60	0	60	IG	18	19	-1	US	NOANET-WA	0	0	0
136	2	5	40	Female	1	equal	equal	248	67	12	28	0	28	IG	47	0	60	0	60	IG	32	27	5	US	UUNET	0	0	0
137	2	5	35	Male	1	equal	equal	111	50	12	26	20	46	IG	28	25	30	30	60	Unbiased	23	22	1	US	ATT-INTERNET4	0	0	0
138	2	6	23	Female	0	equal	equal	278	50	12	20	18	38	IG	24	24	31	29	60	IG	24	24	0	US	CCI-TEXAS	0	0	0
139	2	6	24	Female	0	more	equal	118	44	8	26	18	44	IG	26	22	32	28	60	IG	20	20	0	US	TWC-11426-CAROLINAS	0	0	0
140	2	6	44	Female	0	idk	idk	193	36	12	18	18	36	Unbiased	27	20	33	27	60	IG	28	26	2	US	COMCAST-7922	0	0	0
141	2	6	33	Male	1	equal	more	124	58	14	34	0	34	IG	46	0	60	0	60	IG	26	22	4	US	TWC-11426-CAROLINAS	0	0	0
142	2	6	41	Female	1	idk	idk	174	70	10	22	23	45	OG	24	25	29	31	60	OG	24	22	2	US	ATT-INTERNET4	0	0	0
143	2	6	29	Female	1	equal	idk	118	45	13	39	0	39	IG	46	0	60	0	60	IG	21	29	-8	US	STATE-OF-MN	0	0	0
144	2	7	35	Male	0	more	equal	208	46	11	21	15	36	IG	32	18	35	25	60	IG	28	23	5	US	COMCAST-7922	0	0	0
145	2	7	27	Female	0	equal	idk	126	45	10	51	0	51	IG	51	0	60	0	60	IG	9	24	-15	US	CHARTER-20115	0	0	0
146	2	7	31	Male	0	equal	more	86	74	11	31	9	40	IG	40	12	45	15	60	IG	22	25	-3	US	COMCAST-7922	0	0	0
147	2	7	26	Male	1	equal	equal	96	60	13	37	1	38	IG	41	5	54	6	60	IG	21	28	-7	US	MEC-ASN	0	0	0
148	2	7	26	Male	1	equal	more	145	45	13	31	3	34	IG	38	9	51	9	60	IG	24	27	-3	US	MEDIACOM-ENTERPRISE-BUSINESS	0	0	0
149	2	7	38	Male	1	more	more	215	32	9	28	8	36	IG	35	11	47	13	60	IG	25	28	-3	US	TOTAL-SERVER-SOLUTIONS	0	1	1
150	2	8	41	Female	0	more	less	265	30	9	14	15	29	OG	27	23	35	25	60	IG	27	29	-2	US	CSUOHIO-AS	0	0	0
151	2	8	60	Male	0	equal	equal	235	40	11	14	18	32	OG	23	24	29	31	60	OG	27	29	-2	US	CMCS	0	0	0
152	2	8	44	Female	0	equal	equal	200	45	9	37	8	45	IG	39	12	47	13	60	IG	14	32	-18	US	COMCAST-7922	0	0	0
153	2	8	31	Male	1	more	more	138	53	8	25	23	48	IG	26	25	33	27	60	IG	16	18	-2	US	MEDIACOM-ENTERPRISE-BUSINESS	0	0	0
154	2	8	32	Female	1	equal	idk	294	70	13	28	20	48	IG	30	25	34	26	60	IG	15	19	-4	US	COMCAST-7922	0	0	0
155	2	8	19	Female	1	more	equal	231	30	13	24	22	46	IG	28	25	32	28	60	IG	21	17	4	US	USJ-ASN	0	0	0
156	2	9	43	Female	0	equal	equal	246	63	11	23	19	42	IG	27	26	30	30	60	Unbiased	18	22	-4	US	TWC-11351-NORTHEAST	0	0	0
157	2	9	39	Male	0	equal	equal	132	45	12	8	32	40	OG	10	41	12	48	60	OG	30	26	4	US	CENTURYLINK-US-LEGACY-QWEST	0	0	0
158	2	9	30	Female	0	more	more	173	65	7	43	4	47	IG	46	5	55	5	60	IG	14	26	-12	US	BHN-33363	0	0	0
159	2	9	38	Male	1	equal	equal	558	49	11	28	12	40	IG	38	15	44	16	60	IG	24	20	4	US	COMCAST-7922	0	0	0
160	2	9	52	Male	1	equal	idk	225	20	14	9	14	23	OG	17	34	20	40	60	OG	33	39	-6	US	GRANDECOM-AS1	0	0	0
161	2	9	28	Female	1	equal	equal	161	65	9	26	19	45	IG	33	23	36	24	60	IG	18	20	-2	US	MEGANET-TCIX	0	0	0
162	3	1	21	Male	0	more	equal	110	36	9	17	20	37	OG	20	26	27	33	60	OG	29	24	5	US	MDC-EDU	0	0	0
163	3	1	29	Male	0	equal	idk	182	38	10	12	19	31	OG	14	32	20	40	60	OG	29	26	3	US	COGENT-174	0	0	0
164	3	1	30	Female	0	equal	equal	107	60	10	27	21	48	IG	29	23	35	25	60	IG	25	26	-1	US	TWC-10796-MIDWEST	0	0	0
165	3	1	20	Female	1	equal	equal	132	51	12	36	11	47	IG	36	12	47	13	60	IG	15	30	-15	US	NERDCNET	0	1	1
166	3	1	27	Female	1	equal	less	461	49	12	15	23	38	OG	22	25	26	34	60	OG	25	26	-1	US	DIGITALOCEAN-ASN	0	1	1
167	3	1	41	Female	1	equal	equal	144	75	6	22	22	44	Unbiased	25	25	29	31	60	OG	25	22	3	US	COGENT-174	0	0	0
168	3	2	33	Male	0	more	less	151	20	8	24	7	31	IG	37	8	51	9	60	IG	28	31	-3	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
169	3	2	29	Male	0	equal	equal	102	55	10	31	0	31	IG	45	0	60	0	60	IG	29	20	9	US	ATT-INTERNET4	0	0	0
170	3	2	50	Female	0	idk	equal	181	50	10	40	0	40	IG	45	0	60	0	60	IG	20	21	-1	US	COMCAST-7922	0	0	0
171	3	2	26	Female	1	equal	equal	188	47	11	14	18	32	OG	26	24	33	27	60	IG	36	25	11	US	TWC-10796-MIDWEST	0	0	0
172	3	2	28	Male	1	more	less	218	65	9	22	19	41	IG	22	24	28	32	60	OG	14	25	-11	US	ATT-INTERNET4	0	0	0
173	3	2	35	Male	1	equal	equal	313	42	8	21	12	33	IG	30	18	38	22	60	IG	23	26	-3	US	M247	0	1	1
174	3	3	61	Female	0	equal	idk	212	40	12	17	10	27	IG	26	25	29	31	60	OG	23	34	-11	US	TWC-10796-MIDWEST	0	0	0
175	3	3	34	Female	0	equal	equal	154	55	9	28	10	38	IG	30	20	40	20	60	IG	16	31	-15	US	ATT-INTERNET4	0	0	0
176	3	3	31	Male	0	equal	equal	165	49	10	25	7	32	IG	38	11	48	12	60	IG	28	21	7	RS	SERBIA-BROADBAND-AS	1	0	1
177	3	3	38	Female	1	equal	equal	180	44	9	16	26	42	OG	19	29	28	32	60	OG	30	21	9	US	COMCAST-7922	0	0	0
178	3	3	57	Female	1	equal	more	107	28	6	30	6	36	IG	39	10	49	11	60	IG	24	25	-1	US	SUDDENLINK-COMMUNICATIONS	0	0	0
179	3	3	39	Male	1	equal	equal	210	85	8	24	22	46	IG	28	23	36	24	60	IG	23	20	3	US	TWC-11426-CAROLINAS	0	0	0
180	3	4	47	Female	0	idk	equal	268	35	12	5	29	34	OG	8	41	9	51	60	OG	29	26	3	ZA	HOSTINGSERVICES-INC	1	1	1
181	3	4	21	Male	0	equal	less	139	60	9	21	27	48	OG	23	28	25	35	60	OG	16	19	-3	US	CHARTER-20115	0	0	0
182	3	4	33	Male	0	equal	more	166	44	11	19	9	28	IG	32	16	42	18	60	IG	34	33	1	US	CABLE-NET-1	0	0	0
183	3	4	66	Female	1	equal	equal	270	26	8	16	17	33	OG	27	23	32	28	60	IG	29	24	5	US	NORTHEAST-RURAL-SERVICES-DBA-BOLT-FIBER-OPTIC-SERV	0	0	0
184	3	4	30	Male	1	less	less	136	57	11	16	21	37	OG	24	26	31	29	60	IG	26	27	-1	US	TWC-12271-NYC	0	0	0
185	3	4	20	Male	1	equal	less	74	35	7	17	21	38	OG	25	23	33	27	60	IG	24	19	5	US	TWC-10796-MIDWEST	0	0	0
186	3	5	38	Male	0	equal	equal	144	52	9	21	22	43	OG	26	24	30	30	60	Unbiased	23	18	5	US	TWC-11427-TEXAS	0	0	0
187	3	5	41	Male	0	equal	equal	196	58	8	12	7	19	IG	25	26	33	27	60	IG	33	32	1	US	TWC-10796-MIDWEST	0	0	0
