subject	condition	generation	index	age	sex	group	rabbit	machine	scores	pre	post	chosen	chosenInput	useMachine	output	score	gameTime	surveyTime
4	0	1	4	37	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	3,5,-2,5,-2,-2;1,10,1,10,1,-4;4,13,1,10,1,-6;2,18,4,10,4,-3;5,23,2,15,7,0;3,26,5,20,10,-2;6,31,3,20,13,1;9,36,1,20,16,-1;12,41,1,20,19,2;15,41,4,20,17,5;18,46,2,20,20,3;16,44,0,20,25,6;19,44,-2,18,23,9;17,44,-4,18,21,7;20,49,-1,21,24,10;23,52,4,21,27,8;26,57,7,21,30,11;29,62,5,21,33,14;27,67,8,19,36,17;30,72,13,19,39,15	3,3,3,4,3,3,3,2	4,4,3,3,2,2,2,2	1;3;5;5;1;5;5;4;4;5;0;0;0;1;0;4;3;5;5;5	0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0	0,5,5,10,15,15,20,25,30,35,40,40,45,50,50,55,55,55,60,65	20,11,9,8,18,7,6,5,5,10,7,5,5,6,9,5,5,5,5,11	31,22
5	0	1	5	25	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0	3,5,-2,5,-2,-2;1,10,1,10,1,-4;4,13,1,10,1,-6;2,18,4,10,4,-3;5,23,2,15,7,0;3,26,5,20,10,-2;6,31,3,20,13,1;9,36,1,20,16,-1;12,41,1,20,19,2;15,41,4,20,17,5;18,46,2,20,20,3;16,44,0,20,25,6;19,44,-2,18,23,9;17,44,-4,18,21,7;20,49,-1,21,24,10;23,52,4,21,27,8;26,57,7,21,30,11;29,62,5,21,33,14;27,67,8,19,36,17;30,72,13,19,39,15	4,3,5,5,3,4,4,3	3,3,4,5,3,4,3,5	5;5;2;5;5;4;4;1;4;1;4;5;2;5;4;0;5;4;4;1	1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0	0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0	0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0	5,3,1,1,-1,2,5,8,11,11,9,7,5,3,6,11,16,19,22,27	35,16,20,13,20,13,10,11,9,16,10,10,12,8,10,9,7,9,9,9	29,19
6	0	2	0	30	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0	5,5,0,3,0,5;3,8,-2,6,5,3;1,13,3,11,5,1;4,18,8,9,10,1;2,23,13,7,15,-1;5,28,18,5,15,2;8,33,23,3,20,5;6,33,28,6,25,8;4,38,33,4,30,11;4,43,36,7,35,11;2,48,34,10,40,9;5,48,37,8,40,7;3,53,35,11,45,5;1,53,38,9,50,3;-1,58,36,12,50,6;2,63,39,15,55,11;5,68,42,18,55,16;8,73,45,21,55,19;11,78,48,24,60,22;14,83,46,27,65,27	5,4,5,4,4,5,4,4	4,5,4,4,4,5,4,3	2;1;2;1;4;2;1;0;1;1;2;0;2;2;1;2;2;0;1;2	1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1	0,0,5,10,15,20,25,30,35,40,45,50,55,60,60,65,70,68,68,68	15,8,9,9,8,7,7,6,7,6,7,7,7,18,10,8,6,20,7,8	19,19
7	0	2	1	30	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1	5,5,0,3,0,5;3,8,-2,6,5,3;1,13,3,11,5,1;4,18,8,9,10,1;2,23,13,7,15,-1;5,28,18,5,15,2;8,33,23,3,20,5;6,33,28,6,25,8;4,38,33,4,30,11;4,43,36,7,35,11;2,48,34,10,40,9;5,48,37,8,40,7;3,53,35,11,45,5;1,53,38,9,50,3;-1,58,36,12,50,6;2,63,39,15,55,11;5,68,42,18,55,16;8,73,45,21,55,19;11,78,48,24,60,22;14,83,46,27,65,27	4,3,4,3,3,5,4,2	4,3,4,3,4,5,3,3	1;5;0;0;5;1;0;0;1;0;2;1;3;2;2;1;0;1;2;1	0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0	1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1	0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0	3,1,1,-1,-3,-5,-7,-4,-1,-1,-3,-5,-2,-4,-1,-3,0,3,6,9	22,7,5,6,9,7,8,9,35,7,6,5,6,7,18,7,28,10,10,6	12,9
8	0	2	2	46	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0	5,5,0,3,0,5;3,8,-2,6,5,3;1,13,3,11,5,1;4,18,8,9,10,1;2,23,13,7,15,-1;5,28,18,5,15,2;8,33,23,3,20,5;6,33,28,6,25,8;4,38,33,4,30,11;4,43,36,7,35,11;2,48,34,10,40,9;5,48,37,8,40,7;3,53,35,11,45,5;1,53,38,9,50,3;-1,58,36,12,50,6;2,63,39,15,55,11;5,68,42,18,55,16;8,73,45,21,55,19;11,78,48,24,60,22;14,83,46,27,65,27	2,3,3,3,2,3,3,3	3,3,3,3,3,2,3,3	0;2;2;4;0;1;1;0;0;0;0;1;0;3;2;1;0;2;1;0	0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0	0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0	0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0	5,3,8,6,9,12,17,22,27,32,37,42,40,38,43,43,48,48,51,56	16,9,8,7,10,6,5,5,6,8,5,4,9,6,7,6,4,4,9,5	13,11
9	0	2	3	44	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1	5,5,0,3,0,5;3,8,-2,6,5,3;1,13,3,11,5,1;4,18,8,9,10,1;2,23,13,7,15,-1;5,28,18,5,15,2;8,33,23,3,20,5;6,33,28,6,25,8;4,38,33,4,30,11;4,43,36,7,35,11;2,48,34,10,40,9;5,48,37,8,40,7;3,53,35,11,45,5;1,53,38,9,50,3;-1,58,36,12,50,6;2,63,39,15,55,11;5,68,42,18,55,16;8,73,45,21,55,19;11,78,48,24,60,22;14,83,46,27,65,27	2,3,4,4,4,4,5,3	5,4,3,4,4,4,3,3	4;3;3;3;5;4;3;4;4;5;3;4;3;5;5;3;5;3;3;3	1;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1	-2,1,4,7,10,13,11,14,17,20,18,16,19,17,15,18,21,19,22,20	165,35,34,38,32,18,37,15,18,26,21,16,13,11,15,11,11,11,13,16	38,74
10	0	2	4	28	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0	5,5,0,3,0,5;3,8,-2,6,5,3;1,13,3,11,5,1;4,18,8,9,10,1;2,23,13,7,15,-1;5,28,18,5,15,2;8,33,23,3,20,5;6,33,28,6,25,8;4,38,33,4,30,11;4,43,36,7,35,11;2,48,34,10,40,9;5,48,37,8,40,7;3,53,35,11,45,5;1,53,38,9,50,3;-1,58,36,12,50,6;2,63,39,15,55,11;5,68,42,18,55,16;8,73,45,21,55,19;11,78,48,24,60,22;14,83,46,27,65,27	3,3,4,2,2,3,4,4	3,3,4,4,3,4,4,4	5;5;5;0;4;3;2;2;0;1;5;3;3;5;0;5;0;5;2;2	0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0	0,3,1,-1,-3,-5,-7,-4,-6,-8,-10,-12,-14,-16,-18,-15,-12,-9,-6,-3	20,23,13,21,32,17,10,68,14,13,20,18,9,11,11,16,13,11,14,12	27,33
11	0	2	5	34	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1	5,5,0,3,0,5;3,8,-2,6,5,3;1,13,3,11,5,1;4,18,8,9,10,1;2,23,13,7,15,-1;5,28,18,5,15,2;8,33,23,3,20,5;6,33,28,6,25,8;4,38,33,4,30,11;4,43,36,7,35,11;2,48,34,10,40,9;5,48,37,8,40,7;3,53,35,11,45,5;1,53,38,9,50,3;-1,58,36,12,50,6;2,63,39,15,55,11;5,68,42,18,55,16;8,73,45,21,55,19;11,78,48,24,60,22;14,83,46,27,65,27	4,5,5,4,4,3,3,3	4,4,5,5,3,3,4,3	3;2;2;3;5;3;3;4;4;5;3;5;2;2;1;5;2;0;3;4	0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0	0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0	0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,8,6,11,11,16,16,16,16,14,14,12,12,12,17,22,27,32,37,42	28,25,8,9,15,8,7,9,9,10,7,12,7,7,7,6,6,6,6,5	68,13
12	0	3	0	34	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0	0,3,5,-2,0,5;0,1,3,1,3,8;5,1,8,4,1,6;10,-1,6,7,-1,11;15,-3,9,10,-3,11;20,-5,12,13,-5,16;25,-7,17,11,-7,16;30,-4,22,14,-4,16;35,-1,27,17,-6,16;40,-1,32,20,-8,14;45,-3,37,18,-10,14;50,-5,42,16,-12,12;55,-2,40,19,-14,12;60,-4,38,17,-16,12;60,-1,43,15,-18,17;65,-3,43,18,-15,22;70,0,48,21,-12,27;68,3,48,19,-9,32;68,6,51,22,-6,37;68,9,56,20,-3,42	4,4,5,5,4,4,5,5	5,5,4,4,5,5,4,4	2;1;2;2;1;0;0;2;2;0;1;0;0;2;1;2;2;1;1;1	0;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0	3,6,9,7,5,3,1,-1,-3,0,-2,-4,-1,2,5,3,6,9,12,15	10,9,8,6,7,10,7,6,10,7,6,6,6,7,9,7,8,8,14,7	16,14
13	0	3	1	30	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1	0,3,5,-2,0,5;0,1,3,1,3,8;5,1,8,4,1,6;10,-1,6,7,-1,11;15,-3,9,10,-3,11;20,-5,12,13,-5,16;25,-7,17,11,-7,16;30,-4,22,14,-4,16;35,-1,27,17,-6,16;40,-1,32,20,-8,14;45,-3,37,18,-10,14;50,-5,42,16,-12,12;55,-2,40,19,-14,12;60,-4,38,17,-16,12;60,-1,43,15,-18,17;65,-3,43,18,-15,22;70,0,48,21,-12,27;68,3,48,19,-9,32;68,6,51,22,-6,37;68,9,56,20,-3,42	5,5,5,5,2,2,2,2	5,5,5,5,2,2,2,2	1;1;0;2;2;2;0;2;1;2;2;1;2;1;2;0;2;0;0;0	0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0	3,6,9,12,10,8,6,4,7,5,3,6,9,12,15,18,21,24,27,30	27,26,12,10,16,10,13,9,9,11,10,9,9,9,9,9,7,8,7,8	25,20
