subject	condition	generation	age	sex	group	models	totalSurveyTime	totalGameTime	finalScore	il	preCompIG	preCompOG	preCompDelta	preCompBias	preWarmIG	preWarmOG	preWarmDelta	preWarmBias	postCompIG	postCompOG	postCompDelta	postCompBias	postWarmIG	postWarmOG	postWarmDelta	postWarmBias	compDelta	warmDelta	agreeIG	agreeOG	agreeTotal	agreeBias	agreeMaxIG	agreeMaxOG	obsIG	obsOG	obsTotal	obsBias	hammingIG	hammingOG	hammingDelta
12	0	3	34	Male	0	1	30	158	15	11	4	4	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	4	4	0	Unbiased	0	0	13	0	13	IG	20	0	20	0	20	IG	32	26	6
13	0	3	30	Female	0	1	45	228	30	9	5	2	3	IG	5	2	3	IG	5	2	3	IG	5	2	3	IG	0	0	6	0	6	IG	20	0	20	0	20	IG	31	25	6
14	0	3	50	Male	0	1	47	350	29	12	5	4	1	IG	4	5	-1	OG	4.5	4	0.5	IG	4.5	5	-0.5	OG	-0.5	0.5	12	1	13	IG	19	1	19	1	20	IG	30	24	6
15	0	3	40	Male	1	1	62	533	0	10	4.5	3.5	1	IG	4.5	4.5	0	Unbiased	4.5	4	0.5	IG	4.5	4.5	0	Unbiased	-0.5	0	8	1	9	IG	18	2	18	2	20	IG	35	31	4
16	0	3	36	Female	1	1	20	260	7	3	4	4	0	Unbiased	4.5	4	0.5	IG	2.5	3.5	-1	OG	4	3	1	IG	-1	0.5	4	5	9	OG	5	15	5	15	20	OG	24	30	-6
17	0	3	39	Female	1	1	36	173	27	11	5	4	1	IG	4.5	4	0.5	IG	4.5	4	0.5	IG	4.5	4	0.5	IG	-0.5	0	7	0	7	IG	20	0	20	0	20	IG	34	28	6
18	0	4	66	Female	0	1	24	138	46	13	4	3	1	IG	4	3	1	IG	4	3	1	IG	4	3.5	0.5	IG	0	-0.5	12	1	13	IG	14	6	14	6	20	IG	22	30	-8
19	0	4	29	Female	0	1	15	86	9	11	3	2.5	0.5	IG	2	2.5	-0.5	OG	3	2.5	0.5	IG	2	3.5	-1.5	OG	0	-1	8	5	13	IG	11	9	11	9	20	IG	19	29	-10
20	0	4	25	Male	0	1	48	182	55	9	3.5	4.5	-1	OG	3.5	4.5	-1	OG	3.5	3.5	0	Unbiased	4	5	-1	OG	1	0	17	0	17	IG	20	0	20	0	20	IG	19	25	-6
21	0	4	38	Female	1	1	33	150	29	10	4	4	0	Unbiased	3.5	3.5	0	Unbiased	4.5	3.5	1	IG	4	4	0	Unbiased	1	0	4	5	9	OG	10	10	10	10	20	Unbiased	31	25	6
22	0	4	40	Male	1	1	41	212	25	11	4.5	4.5	0	Unbiased	4.5	5	-0.5	OG	4.5	4.5	0	Unbiased	5	4.5	0.5	IG	0	1	6	5	11	IG	11	9	11	9	20	IG	27	27	0
23	0	4	23	Female	1	1	45	141	50	11	4	3	1	IG	4	2.5	1.5	IG	5	2	3	IG	4	3	1	IG	2	-0.5	8	6	14	IG	11	9	11	9	20	IG	34	22	12
24	0	5	28	Female	0	1	48	207	55	8	2	2	0	Unbiased	2	2	0	Unbiased	2	2	0	Unbiased	2	2	0	Unbiased	0	0	0	0	0	Unbiased	11	9	11	9	20	IG	39	33	6
25	0	5	50	Male	0	1	49	196	10	7	5	3.5	1.5	IG	5	3.5	1.5	IG	5	2.5	2.5	IG	5	3.5	1.5	IG	1	0	10	3	13	IG	14	6	14	6	20	IG	24	32	-8
26	0	5	20	Female	0	1	26	126	60	10	5	2	3	IG	4	3	1	IG	5	5	0	Unbiased	4	4	0	Unbiased	-3	-1	14	6	20	IG	14	6	14	6	20	IG	16	26	-10
27	0	5	47	Male	1	1	29	172	47	10	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	0	0	3	4	7	OG	5	15	5	15	20	OG	31	37	-6
28	0	5	69	Female	1	1	38	219	61	11	4	3.5	0.5	IG	4	3	1	IG	4	4	0	Unbiased	4	4	0	Unbiased	-0.5	-1	10	9	19	IG	11	9	11	9	20	IG	27	19	8
29	0	5	45	Male	1	1	23	141	60	8	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	0	0	12	0	12	IG	20	0	20	0	20	IG	32	44	-12
30	0	6	27	Male	0	1	72	275	60	10	4	3.5	0.5	IG	3.5	2.5	1	IG	4	3.5	0.5	IG	3.5	3	0.5	IG	0	-0.5	6	5	11	IG	11	9	11	9	20	IG	27	28	-1
31	0	6	35	Female	0	1	46	314	55	14	3	3	0	Unbiased	4	4	0	Unbiased	3	3	0	Unbiased	4	4	0	Unbiased	0	0	4	9	13	OG	6	14	6	14	20	OG	30	21	9
32	0	6	44	Male	0	1	66	557	35	8	5	3	2	IG	4	3	1	IG	5	3	2	IG	4.5	3	1.5	IG	0	0.5	2	1	3	IG	11	9	11	9	20	IG	36	29	7
33	0	6	36	Female	1	1	25	150	61	10	5	3	2	IG	4	3	1	IG	5	5	0	Unbiased	5	5	0	Unbiased	-2	-1	9	5	14	IG	12	8	12	8	20	IG	31	32	-1
34	0	6	34	Female	1	1	22	146	59	8	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	0	0	5	7	12	OG	8	12	8	12	20	OG	29	26	3
35	0	6	39	Male	1	1	54	240	37	12	4	4	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	0	0	6	10	16	OG	7	13	7	13	20	OG	25	26	-1
36	0	7	30	Female	0	1	54	154	65	12	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	0	0	18	2	20	IG	18	2	18	2	20	IG	19	28	-9
37	0	7	50	Female	0	1	121	308	80	16	4	3	1	IG	4	2.5	1.5	IG	5	4	1	IG	5	4	1	IG	0	-0.5	13	0	13	IG	19	1	19	1	20	IG	24	21	3
38	0	7	40	Male	0	1	29	267	38	14	2	3.5	-1.5	OG	4.5	3.5	1	IG	2.5	3.5	-1	OG	4	3	1	IG	0.5	0	4	4	8	Unbiased	11	9	11	9	20	IG	32	29	3
39	0	7	35	Female	1	1	27	180	28	10	4.5	3.5	1	IG	4.5	3.5	1	IG	4	5	-1	OG	4.5	5	-0.5	OG	-2	-1.5	6	0	6	IG	19	1	19	1	20	IG	31	38	-7
40	0	7	31	Male	1	1	22	206	20	9	3	2	1	IG	4.5	3.5	1	IG	4	5	-1	OG	4	3	1	IG	-2	0	10	3	13	IG	14	6	14	6	20	IG	31	28	3
41	0	7	29	Male	1	1	37	154	26	8	5	4.5	0.5	IG	4	3	1	IG	4.5	4	0.5	IG	4.5	4.5	0	Unbiased	0	-1	2	8	10	OG	7	13	7	13	20	OG	35	34	1
42	0	8	31	Male	0	1	32	246	25	8	3	3	0	Unbiased	3	3	0	Unbiased	3.5	3	0.5	IG	2	3	-1	OG	0.5	-1	12	7	19	IG	12	8	12	8	20	IG	20	21	-1
43	0	8	28	Male	0	1	25	159	35	10	2.5	3	-0.5	OG	3	2.5	0.5	IG	3	2.5	0.5	IG	2	3	-1	OG	1	-1.5	13	0	13	IG	20	0	20	0	20	IG	24	29	-5
44	0	8	28	Female	0	1	225	223	17	11	2.5	2.5	0	Unbiased	3.5	2.5	1	IG	2	2.5	-0.5	OG	3	3	0	Unbiased	-0.5	-1	10	0	10	IG	20	0	20	0	20	IG	28	35	-7
45	0	8	29	Female	1	1	51	271	45	6	4.5	3	1.5	IG	4	2	2	IG	4	4	0	Unbiased	4	2.5	1.5	IG	-1.5	-0.5	5	6	11	OG	12	8	12	8	20	IG	37	32	5
46	0	8	46	Female	1	1	31	244	10	12	3.5	3	0.5	IG	4	3	1	IG	5	5	0	Unbiased	5	5	0	Unbiased	-0.5	-1	14	1	15	IG	19	1	19	1	20	IG	22	25	-3
47	0	8	23	Male	1	1	33	150	73	9	3.5	2.5	1	IG	2	2.5	-0.5	OG	3.5	2.5	1	IG	3.5	3.5	0	Unbiased	0	0.5	6	14	20	OG	6	14	6	14	20	OG	25	18	7
48	0	9	42	Male	0	1	69	314	25	13	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	0	0	20	0	20	IG	20	0	20	0	20	IG	18	35	-17
49	0	9	25	Female	0	1	30	178	4	11	3.5	4	-0.5	OG	4.5	2.5	2	IG	3.5	2	1.5	IG	4.5	3.5	1	IG	2	-1	4	5	9	OG	12	8	12	8	20	IG	35	34	1
50	0	9	37	Female	0	1	28	139	55	12	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	4.5	4	0.5	IG	4.5	4.5	0	Unbiased	0.5	0	9	11	20	OG	9	11	9	11	20	OG	26	21	5
51	0	9	29	Male	1	1	38	122	20	8	3	4	-1	OG	3	3	0	Unbiased	3	4	-1	OG	3.5	3	0.5	IG	0	0.5	0	10	10	OG	0	20	0	20	20	OG	38	25	13
52	0	9	30	Male	1	1	108	379	20	8	4	4.5	-0.5	OG	3.5	4.5	-1	OG	4	4	0	Unbiased	4	3	1	IG	0.5	2	6	6	12	Unbiased	10	10	10	10	20	Unbiased	30	23	7
53	0	9	30	Female	1	1	45	229	20	8	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	0	0	15	2	17	IG	18	2	18	2	20	IG	20	27	-7
54	1	1	34	Male	0	2	29	306	47	10	3	2	1	IG	2.5	2.5	0	Unbiased	3	3	0	Unbiased	2	3	-1	OG	-1	-1	20	0	20	IG	30	0	40	0	40	IG	32	30	2
55	1	1	30	Male	0	2	37	192	12	9	4	3	1	IG	3.5	4	-0.5	OG	3.5	3	0.5	IG	3.5	4	-0.5	OG	-0.5	0	20	1	21	IG	26	1	38	2	40	IG	29	31	-2
56	1	1	25	Male	0	2	25	275	45	13	2.5	3.5	-1	OG	4.5	4	0.5	IG	3.5	3.5	0	Unbiased	4.5	3	1.5	IG	1	1	17	11	28	IG	20	14	24	16	40	IG	26	24	2
57	1	1	45	Female	1	2	18	130	34	13	4.5	4	0.5	IG	3.5	4	-0.5	OG	4	4	0	Unbiased	4	4	0	Unbiased	-0.5	0.5	17	12	29	IG	19	21	19	21	40	OG	21	25	-4
58	1	1	45	Female	1	2	33	209	5	11	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	0	0	21	0	21	IG	31	0	40	0	40	IG	28	24	4
59	1	1	23	Male	1	2	41	197	32	12	4.5	4.5	0	Unbiased	4.5	4	0.5	IG	4	4	0	Unbiased	4.5	3.5	1	IG	0	0.5	9	15	24	OG	14	19	16	24	40	OG	25	25	0
60	1	2	40	Female	0	2	38	223	17	11	4	3	1	IG	2.5	2	0.5	IG	3.5	3	0.5	IG	2.5	2.5	0	Unbiased	-0.5	-0.5	18	4	22	IG	21	11	28	12	40	IG	23	46	-23
61	1	2	41	Male	0	2	32	170	31	11	3	4	-1	OG	3	3.5	-0.5	OG	5	4	1	IG	4	4	0	Unbiased	2	0.5	14	16	30	OG	17	21	19	21	40	OG	19	20	-1
62	1	2	25	Female	0	2	23	157	10	7	5	3	2	IG	5	3	2	IG	5	3	2	IG	5	3	2	IG	0	0	15	12	27	IG	20	20	20	20	40	Unbiased	28	27	1
63	1	2	52	Male	1	2	38	185	46	11	5	4	1	IG	4.5	3	1.5	IG	5	4.5	0.5	IG	4.5	4	0.5	IG	-0.5	-1	26	0	26	IG	35	1	39	1	40	IG	25	32	-7
64	1	2	30	Female	1	2	56	203	55	10	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	0	0	35	0	35	IG	35	0	40	0	40	IG	12	27	-15
65	1	2	31	Female	1	2	34	248	56	11	4.5	4	0.5	IG	4.5	5	-0.5	OG	4.5	4.5	0	Unbiased	5	4.5	0.5	IG	-0.5	1	14	13	27	IG	21	19	21	19	40	IG	23	28	-5
66	1	3	30	Male	0	2	38	228	15	7	5	2.5	2.5	IG	5	3	2	IG	5	4	1	IG	5	4.5	0.5	IG	-1.5	-1.5	21	4	25	IG	24	5	31	9	40	IG	21	34	-13
67	1	3	22	Male	0	2	66	327	38	10	4.5	3	1.5	IG	4.5	3	1.5	IG	3.5	3	0.5	IG	4	4	0	Unbiased	-1	-1.5	15	5	20	IG	18	17	19	21	40	OG	28	33	-5
68	1	3	34	Male	0	2	28	140	48	9	4	4	0	Unbiased	2.5	2.5	0	Unbiased	4	4	0	Unbiased	2.5	2.5	0	Unbiased	0	0	16	12	28	IG	17	16	20	20	40	Unbiased	26	27	-1
69	1	3	43	Female	1	2	42	343	25	12	4.5	3.5	1	IG	4.5	4	0.5	IG	4	4	0	Unbiased	4	3.5	0.5	IG	-1	0	19	7	26	IG	23	14	26	14	40	IG	24	31	-7
70	1	3	35	Male	1	2	117	370	20	6	1.5	2	-0.5	OG	1.5	1.5	0	Unbiased	2	1	1	IG	1.5	1.5	0	Unbiased	1.5	0	9	16	25	OG	11	20	15	25	40	OG	27	30	-3
71	1	3	36	Male	1	2	20	148	31	12	4.5	3.5	1	IG	4.5	4	0.5	IG	5	5	0	Unbiased	5	5	0	Unbiased	-1	-0.5	23	2	25	IG	31	6	34	6	40	IG	22	31	-9
72	1	4	38	Male	0	2	39	277	20	10	5	4.5	0.5	IG	4	4	0	Unbiased	5	5	0	Unbiased	4	4	0	Unbiased	-0.5	0	24	0	24	IG	30	0	40	0	40	IG	27	34	-7
73	1	4	52	Male	0	2	39	191	50	11	4	3	1	IG	4	3	1	IG	4	3	1	IG	4	3	1	IG	0	0	21	10	31	IG	24	12	26	14	40	IG	21	34	-13
74	1	4	42	Female	0	2	34	261	22	12	4	4	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	0	0	6	12	18	OG	20	20	20	20	40	Unbiased	37	28	9
75	1	4	35	Male	1	2	21	145	45	13	4	4	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	0	0	12	11	23	IG	19	20	20	20	40	Unbiased	27	30	-3
76	1	4	46	Male	1	2	69	279	10	10	4.5	4.5	0	Unbiased	4	4	0	Unbiased	4.5	5	-0.5	OG	4.5	4.5	0	Unbiased	-0.5	0	14	1	15	IG	26	5	34	6	40	IG	34	29	5
77	1	4	39	Female	1	2	47	216	10	11	4	2.5	1.5	IG	4.5	3	1.5	IG	4.5	2.5	2	IG	4	3	1	IG	0.5	-0.5	8	11	19	OG	19	21	19	21	40	OG	32	33	-1
78	1	5	29	Male	0	2	21	162	34	8	2	2	0	Unbiased	2	2	0	Unbiased	2	2	0	Unbiased	2	2	0	Unbiased	0	0	1	17	18	OG	1	29	2	38	40	OG	28	33	-5
79	1	5	23	Female	0	2	46	184	55	10	3	3	0	Unbiased	3.5	2.5	1	IG	4	4	0	Unbiased	3.5	3.5	0	Unbiased	0	-1	13	12	25	IG	20	20	20	20	40	Unbiased	31	26	5
80	1	5	25	Female	0	2	40	127	40	16	5	2	3	IG	5	2	3	IG	5	2	3	IG	5	2	3	IG	0	0	23	8	31	IG	23	11	27	13	40	IG	24	31	-7
81	1	5	56	Male	1	2	28	183	30	10	3	3	0	Unbiased	3	3	0	Unbiased	4	3	1	IG	4	3	1	IG	1	1	12	8	20	IG	16	16	19	21	40	OG	33	32	1
82	1	5	40	Male	1	2	39	113	36	11	5	3	2	IG	5	3.5	1.5	IG	5	3	2	IG	5	3	2	IG	0	0.5	16	6	22	IG	18	10	27	13	40	IG	27	30	-3
83	1	5	56	Female	1	2	79	241	60	9	5	5	0	Unbiased	5	5	0	Unbiased	5	3	2	IG	3	3	0	Unbiased	2	0	23	0	23	IG	29	0	40	0	40	IG	27	32	-5
84	1	6	30	Male	0	2	24	116	32	12	5	1	4	IG	4	3	1	IG	5	1	4	IG	4	3	1	IG	0	0	22	5	27	IG	26	8	30	10	40	IG	19	32	-13
85	1	6	25	Female	0	2	35	797	25	12	4.5	3.5	1	IG	5	3	2	IG	4	4	0	Unbiased	4.5	4.5	0	Unbiased	-1	-2	11	12	23	OG	19	20	20	20	40	Unbiased	28	25	3
86	1	6	30	Female	0	2	33	196	35	13	4	4	0	Unbiased	3	3	0	Unbiased	4	4	0	Unbiased	3	3	0	Unbiased	0	0	18	3	21	IG	22	5	33	7	40	IG	26	27	-1
87	1	6	52	Female	1	2	71	408	4	15	4	4	0	Unbiased	4	3	1	IG	4	4	0	Unbiased	4	4	0	Unbiased	0	-1	9	9	18	Unbiased	23	16	24	16	40	IG	38	29	9
88	1	6	30	Male	1	2	29	240	53	10	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	0	0	23	5	28	IG	26	6	32	8	40	IG	23	28	-5
89	1	6	45	Male	1	2	35	371	24	10	4.5	3	1.5	IG	4	3	1	IG	4.5	3.5	1	IG	3	2.5	0.5	IG	-0.5	-0.5	9	11	20	OG	19	20	20	20	40	Unbiased	30	25	5
90	1	7	25	Male	0	2	30	398	21	10	3.5	2	1.5	IG	3	2.5	0.5	IG	2.5	2	0.5	IG	3	2.5	0.5	IG	-1	0	11	7	18	IG	15	18	19	21	40	OG	31	30	1
91	1	7	47	Female	0	2	61	412	30	14	4.5	3	1.5	IG	4.5	3.5	1	IG	5	4	1	IG	4	4.5	-0.5	OG	-0.5	-1.5	12	9	21	IG	20	20	20	20	40	Unbiased	26	31	-5
92	1	7	49	Male	0	2	29	256	40	9	4	4	0	Unbiased	4	4.5	-0.5	OG	4	4	0	Unbiased	4	4.5	-0.5	OG	0	0	12	10	22	IG	22	12	27	13	40	IG	32	25	7
93	1	7	30	Male	1	2	81	459	30	6	4	4	0	Unbiased	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	0	0	16	10	26	IG	20	18	22	18	40	IG	27	30	-3
94	1	7	52	Female	1	2	25	193	43	11	4	3.5	0.5	IG	3	4	-1	OG	3	4	-1	OG	3.5	4	-0.5	OG	-1.5	0.5	15	9	24	IG	20	20	20	20	40	Unbiased	30	35	-5
95	1	7	46	Female	1	2	25	317	18	6	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	5	5	0	Unbiased	4	4	0	Unbiased	0	0	4	14	18	OG	10	24	11	29	40	OG	29	36	-7
96	1	8	55	Male	0	2	50	313	58	6	4	3	1	IG	3.5	2.5	1	IG	4	4	0	Unbiased	4	3.5	0.5	IG	-1	-0.5	17	8	25	IG	21	18	22	18	40	IG	19	23	-4
97	1	8	36	Male	0	2	37	242	41	10	4.5	3.5	1	IG	4.5	3	1.5	IG	4.5	3.5	1	IG	4.5	3	1.5	IG	0	0	13	9	22	IG	21	17	22	18	40	IG	30	30	0
98	1	8	67	Male	0	2	34	274	27	8	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	5	4.5	0.5	IG	0	0.5	7	13	20	OG	12	24	12	28	40	OG	22	26	-4
99	1	8	32	Female	1	2	22	220	26	11	4	5	-1	OG	4	3.5	0.5	IG	4	5	-1	OG	4	3.5	0.5	IG	0	0	8	12	20	OG	20	20	20	20	40	Unbiased	27	31	-4
100	1	8	23	Male	1	2	70	251	60	10	3	4	-1	OG	3	4	-1	OG	4	4	0	Unbiased	4	4	0	Unbiased	1	1	18	16	34	IG	19	16	24	16	40	IG	21	21	0
101	1	8	27	Male	1	2	29	146	65	9	4	3	1	IG	3	3	0	Unbiased	5	3	2	IG	5	3	2	IG	1	2	26	2	28	IG	27	4	36	4	40	IG	22	24	-2
102	1	9	25	Male	0	2	56	162	33	14	3	2.5	0.5	IG	3.5	2.5	1	IG	3	3	0	Unbiased	3.5	2.5	1	IG	-0.5	0	15	12	27	IG	22	16	23	17	40	IG	23	20	3
103	1	9	28	Male	0	2	57	313	5	11	4	3.5	0.5	IG	5	2.5	2.5	IG	4	3.5	0.5	IG	4	2.5	1.5	IG	0	-1	11	13	24	OG	21	18	22	18	40	IG	27	28	-1
104	1	9	30	Male	0	2	31	229	38	7	4.5	4	0.5	IG	4.5	4	0.5	IG	4.5	4	0.5	IG	4.5	3	1.5	IG	0	1	16	6	22	IG	22	6	30	10	40	IG	22	21	1
105	1	9	36	Female	1	2	31	201	53	9	5	4.5	0.5	IG	4	5	-1	OG	5	4.5	0.5	IG	4.5	5	-0.5	OG	0	0.5	15	8	23	IG	21	18	22	18	40	IG	20	23	-3
106	1	9	30	Male	1	2	28	184	25	14	4	3	1	IG	4	3	1	IG	4	4	0	Unbiased	4	4	0	Unbiased	-1	-1	17	6	23	IG	29	8	32	8	40	IG	26	25	1
107	1	9	31	Male	1	2	59	331	57	14	4	4	0	Unbiased	3	3	0	Unbiased	2	3	-1	OG	3	3	0	Unbiased	-1	0	4	6	10	OG	20	20	20	20	40	Unbiased	38	41	-3
108	2	1	53	Female	0	3	16	89	68	11	3.5	4.5	-1	OG	3.5	4.5	-1	OG	4.5	3.5	1	IG	4.5	4.5	0	Unbiased	2	1	15	28	43	OG	21	29	22	38	60	OG	26	19	7
109	2	1	28	Male	0	3	43	256	24	8	4.5	2	2.5	IG	4.5	2	2.5	IG	4.5	3.5	1	IG	4	3.5	0.5	IG	-1.5	-2	27	6	33	IG	39	7	52	8	60	IG	28	29	-1
110	2	1	30	Male	0	3	25	188	25	8	4	3.5	0.5	IG	3	3.5	-0.5	OG	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	-0.5	0.5	40	0	40	IG	44	1	59	1	60	IG	19	32	-13
111	2	1	49	Female	1	3	43	232	49	8	4.5	3.5	1	IG	4	3	1	IG	4	3.5	0.5	IG	3	3.5	-0.5	OG	-0.5	-1.5	17	11	28	IG	26	23	31	29	60	IG	26	37	-11
112	2	1	25	Female	1	3	65	253	0	10	3	4	-1	OG	3	3	0	Unbiased	3	2	1	IG	2.5	2	0.5	IG	2	0.5	12	14	26	OG	25	27	28	32	60	OG	33	30	3
113	2	1	40	Male	1	3	184	332	60	12	3	3	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	4	3.5	0.5	IG	0	0.5	30	4	34	IG	40	7	50	10	60	IG	23	34	-11
114	2	2	34	Male	0	3	31	170	30	9	3	2.5	0.5	IG	3.5	3	0.5	IG	2.5	3	-0.5	OG	2.5	2.5	0	Unbiased	-1	-0.5	20	16	36	IG	26	21	31	29	60	IG	21	27	-6
115	2	2	41	Female	0	3	38	274	53	12	3.5	2	1.5	IG	3.5	4.5	-1	OG	3	3	0	Unbiased	4.5	3.5	1	IG	-1.5	2	16	17	33	OG	24	27	27	33	60	OG	20	30	-10
116	2	2	40	Female	0	3	80	361	25	9	3.5	4.5	-1	OG	3.5	3.5	0	Unbiased	3	3.5	-0.5	OG	2.5	2.5	0	Unbiased	0.5	0	21	15	36	IG	29	19	39	21	60	IG	28	22	6
117	2	2	30	Male	1	3	32	146	35	9	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	0	0	25	1	26	IG	42	3	57	3	60	IG	32	34	-2
118	2	2	23	Female	1	3	25	175	30	7	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	0	0	12	27	39	OG	20	32	22	38	60	OG	31	19	12
119	2	2	25	Female	1	3	21	126	5	11	5	3	2	IG	4	2.5	1.5	IG	2.5	4	-1.5	OG	2.5	3	-0.5	OG	-3.5	-2	18	14	32	IG	26	22	32	28	60	IG	32	34	-2
120	2	3	34	Male	0	3	34	206	39	14	4	3.5	0.5	IG	4.5	4	0.5	IG	4.5	3.5	1	IG	4.5	3.5	1	IG	0.5	0.5	20	23	43	OG	26	27	28	32	60	OG	25	21	4
121	2	3	34	Female	0	3	55	341	31	12	3.5	4	-0.5	OG	4.5	3.5	1	IG	4	4.5	-0.5	OG	4	4	0	Unbiased	0	-1	22	15	37	IG	27	25	32	28	60	IG	25	35	-10
122	2	3	30	Male	0	3	91	330	50	9	5	1.5	3.5	IG	4.5	1.5	3	IG	4	4	0	Unbiased	3.5	3	0.5	IG	-3.5	-2.5	31	17	48	IG	32	18	38	22	60	IG	20	24	-4
123	2	3	44	Female	1	3	73	259	29	8	5	5	0	Unbiased	5	4	1	IG	4.5	4.5	0	Unbiased	4	4.5	-0.5	OG	0	-1.5	20	15	35	IG	26	24	32	28	60	IG	23	27	-4
124	2	3	34	Male	1	3	25	209	73	6	4	3	1	IG	3.5	3	0.5	IG	4	4	0	Unbiased	4	4	0	Unbiased	-1	-0.5	1	48	49	OG	1	48	1	59	60	OG	31	11	20
