subject	chain	generation	index	age	sex	group	rabbit	machine	scores	pre	post	chosen	chosenInput	useMachine	output	score	gameTime	IP_Hub_Country_Code	IP_Hub_ISP	IP_Hub_nonUSIP	IP_Hub_VPS	IP_Hub_recommend_block
56.0	1	1	2	23	Male	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,3,-2,0,3;0,3,1,1,5,8;5,6,-1,1,10,13;5,9,4,-1,10,18;10,12,2,2,10,23;15,15,0,5,15,23;15,13,3,3,15,23;20,16,6,1,20,23;20,14,9,1,25,23;25,17,12,1,25,23;25,15,15,6,28,23;30,18,18,11,28,23;35,16,21,16,28,23;35,19,19,16,33,23;40,17,22,16,38,23;45,20,25,21,38,23;45,23,28,26,43,23;45,21,31,29,48,23;50,24,34,34,48,23;50,27,37,39,48,23	equal	equal	2,3,1;2,1,0;5,3,4;2,4,0;5,4,2;2,0,1;2,1,0;3,5,4;2,1,0;1,2,0;1,2,0;4,5,3;2,0,3;3,2,4;2,1,0;2,1,0;3,5,4;2,3,5;0,2,1;4,2,3	1,0,0;0,1,0;1,0,1;1,0,0;1,0,0;1,0,0;0,1,1;1,1,0;0,1,1;0,0,0;1,0,1;1,1,0;0,0,0;1,1,0;0,1,0;0,0,0;0,1,0;0,0,1;0,0,0;1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0	0,0,5,5,5,10,15,20,25,30,30,30,35,35,35,40,45,50,55,60	21,11,13,9,18,6,6,6,5,10,5,4,6,5,8,4,4,5,4,6	US	ATT-INTERNET4	0	0	0
57.0	1	1	3	27	Male	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1	0,0,3,-2,0,3;0,3,1,1,5,8;5,6,-1,1,10,13;5,9,4,-1,10,18;10,12,2,2,10,23;15,15,0,5,15,23;15,13,3,3,15,23;20,16,6,1,20,23;20,14,9,1,25,23;25,17,12,1,25,23;25,15,15,6,28,23;30,18,18,11,28,23;35,16,21,16,28,23;35,19,19,16,33,23;40,17,22,16,38,23;45,20,25,21,38,23;45,23,28,26,43,23;45,21,31,29,48,23;50,24,34,34,48,23;50,27,37,39,48,23	equal	less	5,0,4;3,0,4;3,4,5;0,3,2;1,3,5;5,2,0;2,3,4;0,2,1;1,4,5;1,3,0;5,2,4;5,0,1;2,1,5;5,0,3;2,4,1;0,4,2;0,1,2;3,0,5;2,1,5;1,4,0	1,0,0;1,0,1;0,1,1;0,0,1;1,1,1;1,1,0;0,1,1;0,0,0;1,0,1;0,1,0;1,0,0;1,0,0;0,1,1;1,1,1;0,0,1;0,1,0;1,0,0;0,1,1;0,0,1;0,1,1	1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1	0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1	-2,3,3,1,6,9,7,10,13,16,19,17,15,18,16,21,24,22,25,23	11,6,5,5,10,5,5,5,6,32,5,5,4,5,7,5,5,5,6,7	US	COMCAST-7015	0	0	0
58.0	1	1	4	24	Female	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1	0,0,3,-2,0,3;0,3,1,1,5,8;5,6,-1,1,10,13;5,9,4,-1,10,18;10,12,2,2,10,23;15,15,0,5,15,23;15,13,3,3,15,23;20,16,6,1,20,23;20,14,9,1,25,23;25,17,12,1,25,23;25,15,15,6,28,23;30,18,18,11,28,23;35,16,21,16,28,23;35,19,19,16,33,23;40,17,22,16,38,23;45,20,25,21,38,23;45,23,28,26,43,23;45,21,31,29,48,23;50,24,34,34,48,23;50,27,37,39,48,23	less	less	2,5,1;5,0,4;1,0,2;2,0,1;5,0,3;3,0,4;4,3,5;5,3,4;2,0,3;2,4,5;0,2,4;5,3,4;4,5,3;4,1,5;1,5,3;0,5,4;4,0,2;1,2,3;1,5,0;3,1,4	1,1,0;1,0,1;1,1,0;1,0,1;1,1,1;0,0,0;1,1,1;1,1,0;0,1,1;0,1,1;1,0,0;1,0,1;1,1,0;0,0,1;1,1,1;0,1,1;0,1,0;1,0,0;0,1,0;0,0,1	1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0	-2,3,8,6,4,7,10,13,16,14,12,15,13,16,14,17,20,23,26,29	16,12,8,11,9,10,8,10,33,10,12,7,7,16,55,8,8,7,7,7	CA	TOTAL-SERVER-SOLUTIONS	1	1	1
59.0	1	1	5	28	Female	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0	0,0,3,-2,0,3;0,3,1,1,5,8;5,6,-1,1,10,13;5,9,4,-1,10,18;10,12,2,2,10,23;15,15,0,5,15,23;15,13,3,3,15,23;20,16,6,1,20,23;20,14,9,1,25,23;25,17,12,1,25,23;25,15,15,6,28,23;30,18,18,11,28,23;35,16,21,16,28,23;35,19,19,16,33,23;40,17,22,16,38,23;45,20,25,21,38,23;45,23,28,26,43,23;45,21,31,29,48,23;50,24,34,34,48,23;50,27,37,39,48,23	less	equal	2,5,0;2,3,0;4,1,5;2,4,1;1,0,4;1,4,0;2,4,0;0,1,2;0,3,1;2,0,1;2,3,5;0,5,1;0,3,2;2,1,3;0,4,2;1,4,5;0,3,5;3,2,4;2,4,5;0,5,2	1,1,0;0,1,0;1,1,1;1,0,1;1,1,0;0,0,0;0,1,1;0,0,0;1,1,1;0,0,0;0,0,1;0,1,0;0,0,0;1,0,1;0,0,0;0,1,1;1,0,1;0,0,0;0,1,1;1,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-2,-4,-1,-3,-5,-2,1,4,7,10,13,16,19,22,25,28,31,34,37,40	15,8,7,10,15,11,21,5,7,8,6,11,9,7,6,7,6,7,7,7	US	RCN-AS	0	0	0
60.0	1	2	0	33	Female	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0	-2,0,0,-2,-2,-2;-4,5,0,3,3,-4;-1,10,5,3,8,-1;2,10,5,1,6,-3;0,10,5,6,4,-5;-2,15,10,9,7,-2;1,20,15,7,10,1;6,25,20,10,13,4;6,28,25,13,16,7;11,28,30,16,14,10;11,33,30,19,12,13;11,38,30,17,15,16;16,43,35,15,13,19;21,48,35,18,16,22;26,48,35,16,14,25;31,53,40,21,17,28;34,58,45,24,20,31;39,63,50,22,23,34;44,63,55,25,26,37;49,68,60,23,29,40	less	equal	5,0,4;0,2,1;2,4,3;3,5,4;2,0,1;0,4,5;4,3,5;3,4,5;1,3,5;4,5,3;1,0,2;4,0,1;1,5,4;3,2,1;5,2,0;3,5,4;3,4,5;1,5,3;5,4,3;3,5,4	0,0,0;0,0,1;1,1,0;0,0,0;0,0,0;1,0,0;0,1,0;0,0,0;0,0,0;1,0,0;0,1,1;0,1,0;0,0,1;0,1,0;0,1,0;0,0,0;0,0,0;0,0,1;0,0,0;1,0,0	1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0	0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0	-2,-4,-1,-3,-5,-5,-2,1,-1,2,7,10,13,16,14,12,15,13,11,16	14,6,5,4,7,6,6,4,7,5,5,5,6,6,5,4,4,4,7,4	US	PRMC-ASN	0	0	0
61.0	1	2	1	21	Male	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0	-2,0,0,-2,-2,-2;-4,5,0,3,3,-4;-1,10,5,3,8,-1;2,10,5,1,6,-3;0,10,5,6,4,-5;-2,15,10,9,7,-2;1,20,15,7,10,1;6,25,20,10,13,4;6,28,25,13,16,7;11,28,30,16,14,10;11,33,30,19,12,13;11,38,30,17,15,16;16,43,35,15,13,19;21,48,35,18,16,22;26,48,35,16,14,25;31,53,40,21,17,28;34,58,45,24,20,31;39,63,50,22,23,34;44,63,55,25,26,37;49,68,60,23,29,40	more	less	5,2,0;1,2,4;1,0,2;5,4,3;1,4,3;0,4,2;2,3,5;0,2,1;0,1,2;5,4,3;2,4,1;2,0,1;0,5,4;2,0,1;2,0,3;4,0,3;0,2,1;2,3,4;0,4,1;1,4,5	0,0,0;1,0,1;1,1,1;0,0,0;0,0,1;1,0,0;0,1,0;0,0,0;1,0,0;0,1,0;1,1,0;1,1,0;0,0,1;1,0,0;1,0,1;0,0,0;0,0,0;0,1,0;0,0,1;0,0,0	1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0	-2,-2,3,3,1,1,6,11,16,16,16,21,26,31,31,36,41,46,51,56	24,15,6,9,13,8,5,4,6,10,5,5,3,4,10,4,3,3,5,6	US	COMCAST-7922	0	0	0
62.0	1	2	2	23	Male	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0	-2,0,0,-2,-2,-2;-4,5,0,3,3,-4;-1,10,5,3,8,-1;2,10,5,1,6,-3;0,10,5,6,4,-5;-2,15,10,9,7,-2;1,20,15,7,10,1;6,25,20,10,13,4;6,28,25,13,16,7;11,28,30,16,14,10;11,33,30,19,12,13;11,38,30,17,15,16;16,43,35,15,13,19;21,48,35,18,16,22;26,48,35,16,14,25;31,53,40,21,17,28;34,58,45,24,20,31;39,63,50,22,23,34;44,63,55,25,26,37;49,68,60,23,29,40	equal	less	3,2,5;3,5,1;2,1,0;1,0,2;2,4,5;4,0,5;1,4,2;1,3,2;2,3,1;0,4,1;2,4,0;2,1,4;2,0,1;3,4,1;3,0,4;1,4,2;0,3,1;2,3,1;5,2,3;0,2,4	0,0,0;1,0,1;1,1,1;0,1,0;0,0,0;0,1,0;0,0,0;0,0,0;0,0,0;0,1,1;1,1,1;1,0,0;0,0,0;0,0,0;1,0,1;0,0,0;0,0,0;0,1,0;0,0,0;0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0	-2,-4,-6,-8,-5,-2,1,4,7,5,8,11,14,17,20,23,26,24,27,30	13,11,8,7,16,9,11,8,7,11,39,11,304,57,8,7,7,8,8,17	US	AS40676	0	1	1
63.0	1	2	3	57	Male	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0	-2,0,0,-2,-2,-2;-4,5,0,3,3,-4;-1,10,5,3,8,-1;2,10,5,1,6,-3;0,10,5,6,4,-5;-2,15,10,9,7,-2;1,20,15,7,10,1;6,25,20,10,13,4;6,28,25,13,16,7;11,28,30,16,14,10;11,33,30,19,12,13;11,38,30,17,15,16;16,43,35,15,13,19;21,48,35,18,16,22;26,48,35,16,14,25;31,53,40,21,17,28;34,58,45,24,20,31;39,63,50,22,23,34;44,63,55,25,26,37;49,68,60,23,29,40	equal	less	3,0,4;4,0,3;3,0,2;4,2,1;3,4,5;0,2,1;0,1,2;5,4,3;5,3,4;0,1,2;5,3,4;0,1,2;5,4,3;1,4,2;3,4,5;4,0,1;2,1,0;4,3,5;5,3,4;5,3,4	0,0,0;1,0,1;0,1,1;0,0,0;1,0,0;1,0,0;0,0,0;0,0,0;0,0,0;0,1,0;0,0,1;1,0,1;0,1,1;0,0,1;1,1,0;0,0,0;0,0,0;0,1,0;0,0,0;0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0	0,0,5,5,10,15,20,25,30,35,40,40,40,40,40,45,50,55,60,65	44,15,8,7,25,11,5,5,4,10,5,5,4,6,10,5,5,4,5,8	US	TOTAL-SERVER-SOLUTIONS	0	1	1
64.0	1	2	4	37	Female	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0	-2,0,0,-2,-2,-2;-4,5,0,3,3,-4;-1,10,5,3,8,-1;2,10,5,1,6,-3;0,10,5,6,4,-5;-2,15,10,9,7,-2;1,20,15,7,10,1;6,25,20,10,13,4;6,28,25,13,16,7;11,28,30,16,14,10;11,33,30,19,12,13;11,38,30,17,15,16;16,43,35,15,13,19;21,48,35,18,16,22;26,48,35,16,14,25;31,53,40,21,17,28;34,58,45,24,20,31;39,63,50,22,23,34;44,63,55,25,26,37;49,68,60,23,29,40	equal	equal	0,4,2;5,4,0;1,0,2;3,5,4;1,0,3;0,3,2;4,0,3;0,2,1;4,3,5;0,5,2;0,5,3;0,5,4;3,2,0;3,1,4;0,1,2;1,2,0;3,5,4;2,0,1;3,4,5;3,5,4	0,0,0;0,1,0;1,1,1;0,0,0;0,0,1;1,0,0;0,0,1;0,0,0;0,0,0;0,0,0;1,0,0;1,0,0;1,0,0;0,0,0;0,1,1;0,0,0;0,0,0;0,0,0;0,0,0;1,0,0	0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1	0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0	0,0,3,8,8,11,16,21,24,29,29,29,32,35,40,45,45,43,43,46	28,16,14,11,21,9,9,9,7,12,7,7,7,6,8,7,7,6,5,9	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
65.0	1	2	5	36	Male	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0	-2,0,0,-2,-2,-2;-4,5,0,3,3,-4;-1,10,5,3,8,-1;2,10,5,1,6,-3;0,10,5,6,4,-5;-2,15,10,9,7,-2;1,20,15,7,10,1;6,25,20,10,13,4;6,28,25,13,16,7;11,28,30,16,14,10;11,33,30,19,12,13;11,38,30,17,15,16;16,43,35,15,13,19;21,48,35,18,16,22;26,48,35,16,14,25;31,53,40,21,17,28;34,58,45,24,20,31;39,63,50,22,23,34;44,63,55,25,26,37;49,68,60,23,29,40	equal	more	1,2,0;0,1,2;1,0,2;0,1,2;2,0,1;0,1,2;0,2,1;0,1,2;1,0,2;1,2,0;2,0,1;2,0,1;2,1,0;1,0,2;1,2,0;0,2,1;2,1,0;2,1,0;2,0,1;2,1,0	0,0,0;0,1,0;1,1,1;1,0,0;0,0,0;1,0,0;0,0,0;0,0,0;0,1,0;1,0,0;1,1,0;1,1,0;0,0,0;0,0,1;1,1,0;0,0,0;0,0,0;0,0,0;0,0,1;0,0,0	1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0	1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0	3,8,13,18,18,16,21,26,26,26,24,29,34,34,34,37,42,47,52,57	30,14,10,23,14,29,15,8,7,17,7,12,6,7,11,6,5,5,12,9	US	ATT-INTERNET4	0	0	0
66.0	1	3	0	39	Male	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0	-2,-2,-2,0,0,3;-4,-2,-4,0,0,8;-1,3,-6,5,3,13;-3,3,-8,5,8,18;-5,1,-5,10,8,18;-5,1,-2,15,11,16;-2,6,1,20,16,21;1,11,4,25,21,26;-1,16,7,30,24,26;2,16,5,35,29,26;7,16,8,40,29,24;10,21,11,40,29,29;13,26,14,40,32,34;16,31,17,40,35,34;14,31,20,40,40,34;12,36,23,45,45,37;15,41,26,50,45,42;13,46,24,55,43,47;11,51,27,60,43,52;16,56,30,65,46,57	equal	equal	2,1,4;0,1,2;3,4,5;1,5,0;2,5,0;2,1,0;4,3,5;1,5,0;4,0,3;0,2,3;2,5,0;3,0,4;0,2,1;3,5,4;0,4,1;0,1,2;3,4,5;2,1,0;1,5,2;4,0,5	0,0,0;0,0,0;1,1,1;0,1,0;1,0,0;0,1,1;0,0,0;0,0,0;0,1,0;0,1,0;0,1,0;1,0,1;0,0,0;1,1,0;1,0,1;1,0,0;0,1,0;1,0,1;0,0,0;0,0,0	0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1	0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0	0,0,3,8,6,9,12,15,13,16,14,17,20,23,26,29,34,34,37,40	16,10,11,9,21,9,8,8,8,15,10,9,7,7,11,8,8,10,7,12	US	FRONTIER-FRTR	0	0	0
67.0	1	3	1	37	Female	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1	-2,-2,-2,0,0,3;-4,-2,-4,0,0,8;-1,3,-6,5,3,13;-3,3,-8,5,8,18;-5,1,-5,10,8,18;-5,1,-2,15,11,16;-2,6,1,20,16,21;1,11,4,25,21,26;-1,16,7,30,24,26;2,16,5,35,29,26;7,16,8,40,29,24;10,21,11,40,29,29;13,26,14,40,32,34;16,31,17,40,35,34;14,31,20,40,40,34;12,36,23,45,45,37;15,41,26,50,45,42;13,46,24,55,43,47;11,51,27,60,43,52;16,56,30,65,46,57	equal	equal	0,3,2;1,3,4;1,0,2;0,2,1;4,2,3;1,2,4;2,5,1;0,5,4;0,3,4;0,2,1;1,5,3;4,5,3;5,4,3;5,3,4;4,1,2;3,0,4;5,4,3;2,5,1;2,3,1;1,2,3	0,0,0;0,0,0;1,1,0;0,0,0;0,1,1;1,0,0;0,0,0;0,0,0;1,0,0;0,1,1;1,1,0;1,0,1;0,0,1;1,1,0;0,1,0;0,1,0;0,1,0;1,0,0;0,0,0;0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1	-2,-4,-1,-3,0,-2,-4,-1,-3,0,-2,1,4,2,5,3,1,4,2,0	17,10,10,8,11,8,6,14,7,16,7,7,6,6,8,6,5,7,5,12	US	TWC-12271-NYC	0	0	0
68.0	1	3	2	72	Female	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1	-2,-2,-2,0,0,3;-4,-2,-4,0,0,8;-1,3,-6,5,3,13;-3,3,-8,5,8,18;-5,1,-5,10,8,18;-5,1,-2,15,11,16;-2,6,1,20,16,21;1,11,4,25,21,26;-1,16,7,30,24,26;2,16,5,35,29,26;7,16,8,40,29,24;10,21,11,40,29,29;13,26,14,40,32,34;16,31,17,40,35,34;14,31,20,40,40,34;12,36,23,45,45,37;15,41,26,50,45,42;13,46,24,55,43,47;11,51,27,60,43,52;16,56,30,65,46,57	equal	more	2,5,3;3,5,4;2,0,1;5,1,0;3,0,1;0,1,2;1,0,2;0,2,1;0,2,1;0,1,2;1,2,0;1,2,0;0,2,1;0,2,1;1,0,2;0,1,2;0,2,1;2,0,1;1,2,0;2,0,1	0,1,0;0,1,0;0,1,1;1,0,0;1,0,0;1,1,0;0,0,0;0,0,0;1,0,0;0,1,1;1,0,0;0,0,0;0,0,0;0,0,0;1,1,0;1,0,0;0,0,0;1,1,0;0,0,1;0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0	0,0,0,0,0,0,5,10,15,15,20,25,30,35,35,40,45,45,50,55	71,21,25,18,42,21,12,11,11,16,13,9,8,8,11,10,7,7,7,13	US	CABLEONE	0	0	0
69.0	1	3	3	42	Female	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1	-2,-2,-2,0,0,3;-4,-2,-4,0,0,8;-1,3,-6,5,3,13;-3,3,-8,5,8,18;-5,1,-5,10,8,18;-5,1,-2,15,11,16;-2,6,1,20,16,21;1,11,4,25,21,26;-1,16,7,30,24,26;2,16,5,35,29,26;7,16,8,40,29,24;10,21,11,40,29,29;13,26,14,40,32,34;16,31,17,40,35,34;14,31,20,40,40,34;12,36,23,45,45,37;15,41,26,50,45,42;13,46,24,55,43,47;11,51,27,60,43,52;16,56,30,65,46,57	less	more	3,5,4;1,3,5;5,3,4;4,1,5;4,3,0;4,3,5;5,4,0;4,3,2;4,3,2;5,1,3;3,5,2;5,4,2;4,5,0;3,4,0;3,5,0;4,5,0;5,3,1;4,5,1;4,5,1;5,3,1	0,1,0;0,0,1;1,1,1;1,0,1;0,1,0;0,0,1;0,0,0;0,0,0;0,0,0;1,1,0;0,1,0;0,1,0;0,0,0;1,0,0;1,1,1;0,0,1;0,0,0;1,0,0;1,0,0;0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0	0,0,3,8,8,13,18,23,28,28,33,38,43,48,48,53,58,63,68,73	29,24,8,9,16,7,7,7,5,13,5,7,6,5,6,5,5,4,4,7	US	COMCAST-7922	0	0	0
70.0	1	3	4	61	Female	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1	-2,-2,-2,0,0,3;-4,-2,-4,0,0,8;-1,3,-6,5,3,13;-3,3,-8,5,8,18;-5,1,-5,10,8,18;-5,1,-2,15,11,16;-2,6,1,20,16,21;1,11,4,25,21,26;-1,16,7,30,24,26;2,16,5,35,29,26;7,16,8,40,29,24;10,21,11,40,29,29;13,26,14,40,32,34;16,31,17,40,35,34;14,31,20,40,40,34;12,36,23,45,45,37;15,41,26,50,45,42;13,46,24,55,43,47;11,51,27,60,43,52;16,56,30,65,46,57	equal	idk	3,2,4;1,4,3;3,4,5;2,3,1;2,4,1;1,0,5;1,0,4;4,5,3;4,5,2;4,3,5;1,0,2;1,0,2;1,0,4;1,4,3;1,2,5;0,2,1;2,1,0;4,5,3;3,4,0;0,2,1	0,0,0;0,0,0;1,1,1;0,0,0;1,0,0;1,1,1;0,0,0;0,0,0;0,1,0;0,0,1;1,0,0;0,0,0;0,0,0;0,0,1;1,0,1;1,0,0;0,0,0;1,0,0;0,1,1;0,0,0	0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0	0,0,-2,-2,3,1,4,2,5,3,1,-1,2,0,-2,-4,-6,-8,-10,-7	40,11,12,8,17,8,12,7,7,10,7,9,6,6,7,8,6,5,5,7	US	ATT-INTERNET4	0	0	0
71.0	1	3	5	48	Female	1	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0	-2,-2,-2,0,0,3;-4,-2,-4,0,0,8;-1,3,-6,5,3,13;-3,3,-8,5,8,18;-5,1,-5,10,8,18;-5,1,-2,15,11,16;-2,6,1,20,16,21;1,11,4,25,21,26;-1,16,7,30,24,26;2,16,5,35,29,26;7,16,8,40,29,24;10,21,11,40,29,29;13,26,14,40,32,34;16,31,17,40,35,34;14,31,20,40,40,34;12,36,23,45,45,37;15,41,26,50,45,42;13,46,24,55,43,47;11,51,27,60,43,52;16,56,30,65,46,57	equal	equal	3,2,4;3,1,5;5,1,2;5,4,3;3,4,2;5,4,3;0,2,1;2,0,1;3,4,2;5,3,1;1,0,2;4,5,3;5,4,2;1,2,5;5,3,4;3,4,5;3,4,5;1,2,0;2,1,3;3,5,2	0,0,0;0,0,1;1,1,0;1,1,0;1,0,1;1,0,0;0,0,0;0,0,0;0,0,0;1,0,1;1,0,0;1,0,1;0,0,0;0,0,1;1,1,0;0,0,0;0,1,0;0,1,1;0,0,0;0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0	0,0,5,10,15,20,25,30,35,35,40,40,45,50,50,55,60,60,65,70	22,11,7,7,22,6,4,4,4,11,5,6,4,4,7,4,4,4,5,8	US	EIDG-AS1	0	0	0
72.0	1	4	0	37	Female	0	1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0	0,-2,0,0,0,0;0,-4,0,0,0,0;3,-1,0,3,-2,5;8,-3,0,8,-2,10;6,0,0,8,3,15;9,-2,0,13,1,20;12,-4,5,18,4,25;15,-1,10,23,2,30;13,-3,15,28,5,35;16,0,15,28,3,35;14,-2,20,33,1,40;17,1,25,38,-1,40;20,4,30,43,2,45;23,2,35,48,0,50;26,5,35,48,-2,50;29,3,40,53,-4,55;34,1,45,58,-6,60;34,4,45,63,-8,60;37,2,50,68,-10,65;40,0,55,73,-7,70	equal	more	0,1,3;1,0,2;0,1,2;0,2,3;1,0,3;1,0,2;0,2,1;1,2,0;1,2,0;2,1,3;0,2,1;1,2,0;2,0,1;0,1,2;1,0,2;2,1,0;1,0,2;0,1,2;2,1,0;0,2,1	0,0,0;0,0,0;1,1,0;1,0,1;1,0,0;1,0,1;0,0,1;0,0,0;1,0,1;1,0,1;1,0,1;0,0,0;0,0,0;0,1,0;0,0,1;0,1,0;1,0,0;1,0,1;0,1,0;0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0	0,0,5,10,10,10,15,20,20,20,20,25,30,35,40,45,50,50,55,60	20,7,6,7,15,5,5,4,4,8,5,4,4,4,9,4,4,4,4,6	US	HARCOM1	0	0	0
